TAG number,Equipment Description
16-01-213M,post treatment water pump main drive
16-01-214M,post treatment water pump main drive
16-01-216M,grease lubrication roller press compaction circuit 1&2 redundant grease pump A
16-01-217 M,PRESSURE GAUGES
16-01-218 M,PRESSURE GAUGES
16-01-219 M,End Suction Centrifugal Pump
16-01-220 M,End Suction Centrifugal Pump
16-01-221 M,End Suction Centrifugal Pump 
16-01-223M,post treatment oil / amin pump main drive
16-01-224M,post treatment oil / amin pump main drive
16-01-226M,grease lubrication roller press compaction circuit 1&2 redundant grease pump B
16-01-227 M,Rotary Lobe Pump
16-01-228 M,Rotary Lobe Pump
16-03-310M,post treatment Cooling Air fan main drive
16-03-320M,Fan - Pre-Heater External Feed Combustion Air main drive
16-03-700M,Fan - External Feed Pre-Heater Recirculation Air main drive
16-03-710M,post treatment Cooling Air fan main drive
16-03-720M,post treatment mixing air fan main drive
16-03-730M,post treatment de-dusting exhaust air fan main drive
16-03-740M,de-dusting exhaust air fan
16-03-750M2,Fan - External Feed Pre-Heater Exhaust Air throttle valve actuator / motor valve
16-03-760M,Fan - External Feed Equipment De-Dusting main drive
16-05-125M,post treatment oil / amin tank agitator main drive
16-05-135M,post treatment oil / amin dosing tank agitator motor control
16-05-145 M,Mixing Agitator
16-08-160M1,NATUS SPARE FEEDER
16-08-160M2,NATUS SPARE FEEDER
16-08-160M3,NATUS SPARE FEEDER
16-20-070M,Compaction feed drag conveyor main drive
16-20-080M,crushed compaction product circuit 1 drag conveyor main drive
16-20-090M,crushed compaction product circuit 2 drag conveyor main drive
16-20-100M,recycle drag conveyor main drive
16-25-400M,post treatment dryer/cooler main drive
16-25-500M1,Pre-Heater - External Feed weir dryer cold area flap
16-25-500M2,Pre-Heater - External Feed bypass flap dryer
16-25-815M1,Hot Gas Generator - Pre-Heater External Feed Diesel pump motor 1
16-25-815M2,Hot Gas Generator - Pre-Heater External Feed Diesel pump motor 2
16-26-010M,Fresh feed oversize crusher main drive
16-26-017M1,compaction circuit 1 flake breaker main drive 1
16-26-017M2,compaction circuit 1 flake breaker main drive 2
16-26-027M1,compaction circuit 2 flake breaker main drive 1
16-26-027M2,compaction circuit 2 flake breaker main drive 2
16-26-031M,compaction circuit 1 oversize crusher main drive 1
16-26-032M,compaction circuit 2 oversize crusher main drive 1
16-26-033M1,compaction circuit 1 secondary screen oversize product crusher main drive fixed roller
16-26-033M2,compaction circuit 1 secondary screen oversize product crusher main drive floating roller
16-26-034M1,compaction circuit 1 secondary screen oversize product crusher main drive floating roller
16-26-034M2,compaction circuit 1 secondary screen oversize product crusher main drive fixed roller
16-26-035M1,compaction circuit 2 secondary screen oversize product crusher main drive floating roller
16-26-035M2,compaction circuit 2 secondary screen oversize product crusher main drive fixed roller
16-26-036M1,compaction circuit 2 secondary screen oversize product crusher main drive fixed roller
16-26-036M2,compaction circuit 2 secondary screen oversize product crusher main drive fixed roller
16-27-016M3,compaction circuit 1 roller press screw feeder drive side
16-27-016M4,compaction circuit 1 roller press screw feeder non-drive side
16-27-016M5,compaction circuit 1 roller press gear box fixed roller oil cooling pump
16-27-016M6,compaction circuit 1 roller press gear box floating roller oil cooling pump
16-27-016M7,compaction circuit 1 roller press hydraulic pump
16-27-027M3,compaction circuit 2 roller press screw feeder drive side
16-27-027M4,compaction circuit 2 roller press screw feeder non-drive side
16-27-027M5,compaction circuit 2 roller press gear box floating roller oil cooling pump
16-27-027M6,compaction circuit 2 roller press gear box fixed roller oil cooling pump
16-27-027M7,compaction circuit 2 roller press hydraulic pump
16-28-020M,Fresh feed KCL fines/dust screen main drive
16-28-031M,compaction circuit 1 primary screen main drive
16-28-032M,compaction circuit 2 primary screen main drive
16-28-041M,compaction circuit 1 secondary screen main drive
16-28-042M,compaction circuit 1 secondary screen main drive
16-28-043M,compaction circuit 2 secondary screen main drive
16-28-044M,compaction circuit 2 secondary screen main drive
16-28-050M,post treatment dryer/cooler product screen main drive
16-28-100M,CONTAINER LOADING ROTEX PAN FEEDER
16-29-140M1,compaction product belt conveyor main drive
16-29-140M2,compaction product belt conveyor cleaning drive
16-29-160M1,post treatment compaction product storage bin weigh feeder main drive
16-29-180M,post treatment compaction product storage bin weigh feeder main drive
16-29-200M1,post treatment final granulate belt conveyor main drive
16-29-200M2,post treatment final granulate belt conveyor cleaning drive
16-29-220M1,belt conveyor external fresh feed KCl Product main drive
16-29-220M2,belt conveyor external fresh feed KCl Product cleaning drive
16-29-300 M,BELT CONVEYORS
16-29-300TRM1,TRIPPER CAR TROLLEY MOTOR
16-29-300TRM2,TELESCOPIC CHUTE MOTOR
16-29-300TRM3,REELING SYSTEM MOTOR
16-29-400 M,TRUCK LOADING MOTRIDAL BELT CONVEYER
16-29-500M,CONTAINER LOADING MOTRIDAL BELT CONVEYER
16-29-520M,CONTAINER LOADING MOTRIDAL BELT CONVEYER
16-29-540M1,CONTAINER SHUTTLE MOTRIDAL BELT CONVEYER
16-29-540M2,CONTAINER SHUTTLE MOTRIDAL BELT CONVEYER
16-29-540M3,CONTAINER SHUTTLE MOTRIDAL BELT CONVEYER
16-29-540M4,CONTAINER SHUTTLE MOTRIDAL BELT CONVEYER
16-29-600M1,NATUS SPARE FEEDER
16-29-600M2,NATUS SPARE FEEDER
16-30-161M1,compaction circuit 1 secondary screen oversize product vibration feeder main drive
16-30-161M2,compaction circuit 1 secondary screen oversize product vibration feeder main drive
16-30-162M1,compaction circuit 2 secondary screen oversize product vibration feeder main drive
16-30-162M2,compaction circuit 2 secondary screen oversize product vibration feeder main drive
16-30-171M1,compaction circuit 1 secondary screen oversize product vibration feeder main drive
16-30-171M2,compaction circuit 1 secondary screen oversize product vibration feeder main drive
16-30-172M1,compaction circuit 2 secondary screen oversize product vibration feeder main drive
16-30-172M2,compaction circuit 2 secondary screen oversize product vibration feeder main drive
16-30-205M1,Iron oxide loss-in-weight feeder/M1 Screw Motor VFD
16-30-205M2,Iron oxide loss-in-weight feeder/M2 Agitator Motor
16-30-205M3,Iron oxide loss-in-weight feeder/M3 Air Blower
16-30-205M4,Iron oxide loss-in-weight feeder/M4 Vibrating Motor
16-30-210M1,Iron oxide loss-in-weight feeder/M1 Screw Motor VFD
16-30-210M2,Iron oxide loss-in-weight feeder/M2 Agitator Motor
16-30-210M3,Iron oxide loss-in-weight feeder/M3 Air Blower
16-30-210M4,Iron oxide loss-in-weight feeder/M4 Vibrating Motor
16-30-215M1,post treatment amine feed loss-in-weight feeder/M1 Screw Motor VFD
16-30-215M2,post treatment amine feed loss-in-weight feeder/M2 Agitator Motor
16-30-215M3,post treatment amine feed loss-in-weight feeder/M3 Air Blower
16-30-215M4,post treatment amine feed loss-in-weight feeder/M4 Vibrating Motor
16-30-220M,Fresh feed storage bin screw conveyor main drive
16-30-222M,post treatment compaction product moisture mixer main drive
16-30-240M,de-dusting bag house filter screw feeder main drive
16-30-250M,Screw Feeder - Bag House Filter Pre-Heater External Feed main drive
16-30-255M,post treatment oil / amin mixer main drive
16-30-260M,Compaction feed overflow screw conveyor main drive
16-30-270M,Screw Conveyor - External Feed to Pre-Heater main drive
16-30-270M2,Screw Conveyor - External Feed to Pre-Heater main drive / Motor Fan
16-30-275M,Screw Conveyor - External Feed from Filter main drive
16-30-280M,post treatment de-dusting bag house filter drying zone screw feeder main drive
16-30-290M,post treatment de-dusting bag house filter cooling zone screw feeder main drive
16-31-070M1,Bucket Elevator - External Feed to Pre-Heater main drive
16-31-070M2,Bucket Elevator - External Feed to Pre-Heater maintenance drive
16-31-080M,Fresh feed crusher product bucket elevator main drive
16-31-090M1,Compaction feed bucket elevator main drive
16-31-090M2,Compaction feed bucket elevator maintenance drive
16-31-100M1,crushed compaction product circuit 1 bucket elevator main drive
16-31-100M2,crushed compaction product circuit 1 bucket elevator maintenance drive
16-31-110M1,crushed compaction product circuit 2 bucket elevator main drive
16-31-110M2,crushed compaction product circuit 2 bucket elevator maintenance drive
16-31-120M1,post treatment compaction product bucket elevator main drive
16-31-120M2,post treatment compaction product bucket elevator maintenance drive
16-31-130M1,post treatment product bucket elevator main drive
16-31-130M2,post treatment product bucket elevator maintenance drive
16-31-140M1, bucket elevator external fresh feed KCL  main drive
16-31-140M2, bucket elevator external fresh feed KCL  maintenance drive
16-35-801 M,Motor for TLS (Hopper)
16-35-802 M,Motor for TLS (Hopper)
16-35-803 M,Motor for TLS (Hopper)
16-54-600M,de-dusting bag house filter rotary valve main drive
16-54-700M,post treatment de-dusting bag house filter drying zone rotary valve main drive
16-54-701M,post treatment de-dusting bag house filter cooling zone rotary valve main drive
16-54-750M,Rotary Valve - Pre-Heater External Feed main drive
16-54-800 M,200T/h Rotary Valve 
16-54-850M,external feed de-dusting bag house filter drying zone rotary valve main drive
16-54-900M,0
16-54-910M,0
16-54-950M,Rotary Valve - External Feed Equipment De-Dusting main drive
16-60-5100 M,Electrical motorized Slide Gate
16-60-5200 M,Electrical motorized Slide Gate
16-60-5300 M,Electrical motorized Slide Gate
16-60-745M,de-dusting exhaust air fan flap main drive
16-60-750M,de-dusting exhaust air fan flap bypass flap dryer
16-75-0750M,Fresh feed KCL fines/dust diverter gate main drive
16-75-0755M,Compaction feed overflow diverter gate main drive
16-75-850M,NATUS SPARE FEEDER
16-85-600M1,de-dusting bag house filter throttle valve actuator
16-85-600M2,de-dusting bag house filter throttle valve actuator
